rank,score,name,region,town,postcode,phone,email,website,services,service_text,reasons
18,21,CrowdHouse Energy Limited,London,London,EC1N 8LE,N/A,info@che-uk.com,https://www.che-uk.com,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co
19,21,MMI Building Services Ltd,West Midlands,Telford,TF1 1JT,07966 782851,markbenting@mmibuildingservicesltd.co.uk,https://www.mmibuildingservicesltd.com,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co
20,21,Vic Coupland Ltd,Yorkshire & Humber,Hull,HU8 7BF,01482 323346,matthew@viccoupland.com,https://www.viccoupland.com,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co
21,17,J Cooks t/a Rydal Utilities,East of England,Peterborough,PE1 2TP,01733 511116,energyops@rydal-group.co.uk,https://www.rydalutilities.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +2 density; +12 commercial-only focused
22,16,BGreenn Limited,North West,Blackburn,BB2 2DY,03330 090848,admin@bgreenn.co.uk,https://www.bgreenn.co.uk,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
23,16,BlueApe Limited t/a Blue Ape Renewables,North West,Liverpool,L3 1BP,01514 524085,info@blueaperenewables.co.uk,https://www.blueaperenewables.co.uk,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
24,16,BMES (Scotland) Ltd,Scotland,Bonnybridge,FK4 2AH,01324 430140,info@bmes-scotland.co.uk,https://www.bmesscotland.co.uk,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
25,16,Border All Trades Ltd,Scotland,Galashiels,TD1 2PR,01896 493193,enquiries@borderalltrades.co.uk,https://www.borderalltrades.co.uk,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
26,16,Brooktech Maintenance Services Ltd,North West,Stockport,SK1 2BY,07766 484246,james@brooktechmaintenance.com,https://www.brooktechmaintenance.com,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
27,16,Cablecom Electrical Ltd,Scotland,Edinburgh,EH8 8EE,01316 569151,mail@cablecom-ltd.com,https://www.cablecom-ltd.com,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
28,16,Clique Energy Ltd t/a Clique Energy,North West,Bolton,BL1 2EH,07990 002488,tommy@cliqueenergy.com,https://www.cliqueenergy.com,Commercial|Residential,Commercial and residential installations,+4 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
29,15,Adtec Systems Ltd,South West,Plymouth,PL3 4BB,01752 395141,admin@adtecsystems.co.uk,https://www.adtecsystems.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
30,15,Afan Electrical Ltd,West Midlands,Aberystwyth,SY23 3JQ,01970630202 / 07875356783,mathew@afanelectrical.co.uk,https://www.afanelectrical.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
31,15,Affinity Electrical Services Ltd,Yorkshire & Humber,Sheffield,S4 7UQ,01143 627123,info@affinityelectric.co.uk,https://www.affinityelectric.co.uk/,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
32,15,AfosGroup Limited,South West,Salisbury,SP2 9DJ,01722 682024,sam@afosgroup.co.uk,https://www.afosgroup.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
33,15,Agile Electrics Ltd,West Midlands,Birmingham,B9 4AU,08000 886319,info@agileelectrics.com,https://www.agileelectrics.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
34,15,Allman Electrical Services Ltd,West Midlands,Worcester,WR1 1EE,07366 615818,matt@allmanelectrical.co.uk,https://www.allmanelectrical.co.uk/,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
35,15,ATELMEC ENGINEERING LTD,London,London,W2 4TJ,07507 085795,antonis@atelmec.com,https://www.atelmec.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
36,15,Avon Electrics Group Ltd T/A Avon Electrics,South West,Bristol,BS5 0HE,01225 255555,hello@avonelectrics.com,https://www.avonelectrics.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
37,15,Bedoya Electrical LTD,London,London,SW4 7TB,02031678729 / 07498320285,info@bedoyaelectrical.com,https://www.bedoyaelectrical.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
38,15,Birmingham Electrical Installations Ltd,West Midlands,Birmingham,B3 1RB,01218203644 / 07910192697,kelvin@birmingham-electrical.com,https://www.birmingham-electrical.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
39,15,Cadi Electrics Ltd,West Midlands,Coventry,CV1 4PB,07598 407477,info@cadielectricsltd.com,https://www.cadielectricsltd.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
40,15,Centre Great Ltd,Wales,Bridgend,CF31 2AD,01656 650481,info@centregreat.net,https://www.centregreat.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
41,15,Connect Electrical & Energy Services Ltd,Wales,Merthyr Tydfil,CF48 3TE,07734 011206,info@connectelectricaluk.com,https://www.connectelectricaluk.com/,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
42,15,COOPS RENEWABLES LIMITED,Yorkshire & Humber,Sheffield,S4 7UQ,01143 212515,enquiries@coops-renewables.com,https://www.coops-renewables.com,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
43,15,Cotswold EV Charging Ltd,South West,Gloucester,GL4 5WN,07557 362696,oli@cotswold-ev.co.uk,https://www.cotswold-ev.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
44,15,Countrywide Electrical Testing Ltd,South West,Plymouth,PL3 4BB,01752 936166,admin@cwet.co.uk,https://www.countrywideelectricaltesting.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
45,15,Dave Watton Electrical Ltd,South West,Salisbury,SP5 3NP,01725 557404,info@davewattonelectrical.co.uk,https://www.davewattonelectrical.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
46,15,Devitech Ltd,Yorkshire & Humber,Leeds,LS2 7HZ,08455 651314,projects@devitech.co.uk,https://www.devitech.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
47,15,Domestic Electrical Services Ltd T/A DomElec,Wales,Wrexham,LL11 4YL,01244 422101,dp@domelec.co.uk,https://www.domelec.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
48,15,Electrify Wales Ltd,Wales,Pembrokeshire,SA73 2RU,01646 839054,hello@electrify.wales,https://www.electrify.wales/,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
49,15,Gower Renewables Limited,Wales,Swansea,SA7 9FG,01792 002529,info@gowerrenewables.co.uk,https://www.gowerrenewables.co.uk/,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
50,15,Hannaby & Jones LTD,Wales,Wrexham,LL13 7QQ,01978 313639,info@hannabyandjones.co.uk,https://www.hannabyandjones.co.uk,Commercial|Residential,Commercial and residential installations,+3 density; +5 SMB mix; +3 ltd co; +4 own-brand domain
