"Name","First Name","Last Name","Title / Role","Email","Phone","Website","Address","City","State","Country","Industry","Description","LinkedIn","Twitter / X","Facebook","Instagram","Year Founded","Employees","Revenue","Source URL","Notes","Region","Services","Accreditations","Latitude","Longitude","Last Verified"
"A Osborne Electrical Ltd","N/A","N/A","N/A","office@aosborne-electrical.co.uk","01634 251503","https://www.aosborne-electrical.co.uk","Unit C5, Laser Quay, Culpeper Close, Rochester","Rochester","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.39299780724635","0.5133433159420291","2026-05-18"
"A Q Electrics Ltd","N/A","N/A","N/A","andy@aqelectrics.com","07540 969798","N/A","49 Gortscraheen Road, Pomeroy","Pomeroy","Northern Ireland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Northern Ireland","Commercial; Residential","OZEV authorised","54.613200559999996","-6.9379835866666655","2026-05-18"
"A S Ramsay Building Contractors Ltd","N/A","N/A","N/A","claudio.cannas@asramsay.com","07929 067480","https://www.asramsay.com","The Print Rooms, 164-180 Union Street, London","London","London","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","London","Commercial; Residential","OZEV authorised","51.503820216470665","-0.10034973882352947","2026-05-18"
"A Smith Electrical (IOW) Ltd","N/A","N/A","N/A","info@aseiow.co.uk","01983 403853","https://www.aseiow.co.uk","7 Redwing Close, Newport, Isle Of Wight","Isle Of Wight","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","50.69505516","-1.31449175","2026-05-18"
"A Sparks Electrical","N/A","N/A","N/A","customerservice@asparkselectrical.co.uk","02089 147870","https://www.asparkselectrical.co.uk","Office 110, 30 Rugby road, Twickenham","Twickenham","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.456082593181826","-0.3381981795454546","2026-05-18"
"A.C.Electrical T/A Adam Cobb Electrical","N/A","N/A","N/A","adamcobbelectrical@gmail.com","07889 861256","https://www.adamcobbelectrical.com","15 Eagle Lane, Sheffield","Sheffield","Yorkshire & Humber","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Yorkshire & Humber","Commercial; Residential","OZEV authorised","53.38873952272727","-1.473256190909091","2026-05-18"
"A.M.G. Electrical Systems Ltd","N/A","N/A","N/A","amgelectricaluk@gmail.com","07853 084964","N/A","12 Springbank Terrace,, Paisley","Paisley","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","55.8557595254237","-4.432220125423732","2026-05-18"
"ABS Electrical and Security Services Ltd","N/A","N/A","N/A","abselectrical78@hotmail.com","01922 235859","https://www.abselectricalltd.co.uk","159 West Bromwich Road, Walsall","Walsall","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.57053348139534","-1.978953846511628","2026-05-18"
"Absolute Electrix","N/A","N/A","N/A","absoluteelectrix@gmail.com","07470 417350","N/A","6 Yates Street, Crewe","Crewe","North West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North West","Commercial; Residential","OZEV authorised","53.089555910714296","-2.447929421428572","2026-05-18"
"Absolute Power Ltd","N/A","N/A","N/A","N/A","N/A","N/A","Office 1.37, 9-11 Gunnery Terrace, Royal Arsenal, Woolwich,, London","London","London","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","London","Commercial; Residential","OZEV authorised","51.492226172527545","0.07406131538461533","2026-05-18"
"AC Electrical (North Wales) Ltd","N/A","N/A","N/A","info@acelectrical-ltd.co.uk","01492 549740","https://www.acelectrical-ltd.co.uk","2 Glan Y Mor Road, Llandudno Junction, Conwy","Conwy","Wales","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial; Residential","OZEV authorised","53.28453505","-3.81641355","2026-05-18"
"AC Electrical and CCTV","N/A","N/A","N/A","N/A","N/A","N/A","3 Close Carrog, Llanrystud","Llanrystud","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.3059529846154","-4.141751761538461","2026-05-18"
"AC Mahoney Electrical Services Ltd","N/A","N/A","N/A","chris@acmahoney.co.uk","07792 492670","https://www.acmahoney.co.uk","Unit 17 Sweetmans Yard, Plough Lane,, Hereford","Hereford","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.061393158333324","-2.7284045166666675","2026-05-18"
"AC-EC Electrics Ltd. T/A Procharge SW","N/A","N/A","N/A","N/A","N/A","N/A","6 Mary Seacole Road, The Millfields, Plymouth","Plymouth","South West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South West","Commercial; Residential","OZEV authorised","50.371242152380965","-4.15758747857143","2026-05-18"
"Accro Electrical Services & Contractors","N/A","N/A","N/A","accroelec@aol.com","07850 349854","https://www.accroelectrical.co.uk","Kanata, Front Street, Witton Gilbert, Durham","Durham","North East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North East","Commercial; Residential","OZEV authorised","54.80589311944445","-1.641845838888889","2026-05-18"
"Ace Electrical (Wolverhampton) Ltd T/A Ace Solar Energy","N/A","N/A","N/A","martin@aceelec.co.uk","01902 425120","https://www.acesolarenergy.co.uk","Unit 6 Parkside Industrial Estate, Hickman Avenue, Wolverhampton","Wolverhampton","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.58002133529412","-2.1049931764705883","2026-05-18"
"Ace Electrics","N/A","N/A","N/A","steve@aceelectrics.co.uk","01269861527 / 07968170696","https://www.aceelectrics.co.uk","Lamneth, Carway, Kidwelly","Kidwelly","Wales","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial; Residential","OZEV authorised","51.73739690714285","-4.229723264285714","2026-05-18"
"Ace Installations Ltd","N/A","N/A","N/A","Ace.installations.rm@gmail.com","07866 180550","https://www.ace-maintenance.uk","57 Conway Close, Nottingham","Nottingham","East Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","East Midlands","Commercial; Residential","OZEV authorised","52.96354989","-1.1459867200000002","2026-05-18"
"ACM Sparks Services Ltd","N/A","N/A","N/A","rudy@acmsparks.co.uk","07956 371490","N/A","241 Haydons Road, London","London","London","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","London","Commercial; Residential","OZEV authorised","51.423126923255815","-0.18780710697674416","2026-05-18"
"ACP Electrical Ltd","N/A","N/A","N/A","chris@acp-electrical.co.uk","07597 944034","N/A","21 Wyndham Street, Merthyr Tydfil","Merthyr Tydfil","Wales","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial; Residential","OZEV authorised","51.76149352307693","-3.359573261538461","2026-05-18"
"ACT Electrical NW Ltd","N/A","N/A","N/A","actelectricals@gmail.com","07979 129788","https://www.sctelectricals.business.site","1 Grange Road, Llan Rhos,, Llandudno","Llandudno","Wales","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial; Residential","OZEV authorised","53.30417407826088","-3.8167564434782615","2026-05-18"
"Active Constructions Ltd","N/A","N/A","N/A","activeconstructionsltd@gmail.com","01613079334 / 07728377569","https://www.activeconstructionsltd.co.uk","44 Higher Ardwick, Ardwick, Manchester","Manchester","North West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North West","Commercial; Residential","OZEV authorised","53.47158286086958","-2.219463508695651","2026-05-18"
"Adam Electrical","N/A","N/A","N/A","enquiries@adam-electrical.com","01743 244716","N/A","6 Wyebourne Road, Shrewsbury","Shrewsbury","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.69734548571428","-2.7719430357142856","2026-05-18"
"ADGAN Electrics Ltd","N/A","N/A","N/A","adeganmulti2012@gmail.com","07570 214851","https://www.adganelectrics.co.uk","11 Brandon Avenue, Heald Green, Stockport","Stockport","North West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North West","Commercial; Residential","OZEV authorised","53.37441209361703","-2.2292214744680847","2026-05-18"
"Adrian Arbib T/A Evolve Electric","N/A","N/A","N/A","installs@evolve-electric.uk","07711 090544","https://www.evolve-electric.uk","35 Warnborough Road, Oxford","Oxford","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.76459745151514","-1.266732557575757","2026-05-18"
"Adtec Systems Ltd","N/A","N/A","N/A","admin@adtecsystems.co.uk","01752 395141","https://www.adtecsystems.co.uk","Unit 9 City Business Park, Somerset Place, Plymouth","Plymouth","South West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South West","Commercial; Residential","OZEV authorised","50.38208243888888","-4.160928389999993","2026-05-18"
"AEM Electrical Contracting Ltd","N/A","N/A","N/A","aemelectricalcontracting@gmail.com","07575 341138","N/A","23 Fairhaven, Redhill","Redhill","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.25392799999999","-0.16076944468085108","2026-05-18"
"AES Smart Metering Ltd","N/A","N/A","N/A","rob@aes-smartmetering.com","02083638848 / 07895206490","https://www.aes-smartmetering.com","First Floor, Rear Office, 94 Silver Street, Enfield","Enfield","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.6543659368421","-0.08094512105263157","2026-05-18"
"Afan Electrical Ltd","N/A","N/A","N/A","mathew@afanelectrical.co.uk","01970630202 / 07875356783","https://www.afanelectrical.co.uk","Unit 24, Glan Yr Afon Industrial Estate, Llanbadarn Fawr, Aberystwyth","Aberystwyth","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.401686414000004","-4.042938506000001","2026-05-18"
"Affinity Electrical Services Ltd","N/A","N/A","N/A","info@affinityelectric.co.uk","01143 627123","https://www.affinityelectric.co.uk/","Unit 24 President Building Savile Street East, Sheffield","Sheffield","Yorkshire & Humber","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Yorkshire & Humber","Commercial; Residential","OZEV authorised","53.39410154470591","-1.4466015364705878","2026-05-18"
"AfosGroup Limited","N/A","N/A","N/A","sam@afosgroup.co.uk","01722 682024","https://www.afosgroup.co.uk","148 Pembroke Road, Salisbury","Salisbury","South West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South West","Commercial; Residential","OZEV authorised","51.080487524","-1.8294070119999999","2026-05-18"
"AG Electrical NI","N/A","N/A","N/A","adam@agelectrical.org","02891 228364","https://www.agelectrical.org","80 Milecross Road,, Newtonwards","Newtonwards","Northern Ireland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Northern Ireland","Commercial; Residential","OZEV authorised","54.59470914615383","-5.728932284615385","2026-05-18"
"Agelec Ltd","N/A","N/A","N/A","N/A","N/A","N/A","59 Ayresome St, Middlesbrough","Middlesbrough","North East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North East","Commercial; Residential","OZEV authorised","54.5656752952381","-1.2464638809523814","2026-05-18"
"Agile Electrics Ltd","N/A","N/A","N/A","info@agileelectrics.com","08000 886319","https://www.agileelectrics.com","Unit 310 Zellig Building, The Custard Factory, Birmingham","Birmingham","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.474959499999976","-1.8845885000000024","2026-05-18"
"AGT ELECTRICAL (Exeter) Ltd","N/A","N/A","N/A","admin@agt.co.uk","01392 411120","https://www.agt.co.uk","Francis Close, Wardrew Road, Exeter","Exeter","South West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South West","Commercial; Residential","OZEV authorised","50.715019559999995","-3.54580786","2026-05-18"
"AIS Utilities Limited","N/A","N/A","N/A","enquiries@aisutilities.co.uk","02039 478846","https://www.aisutilities.co.uk","56-58 High Street,, Sutton Coldfield","Sutton Coldfield","South East","United Kingdom","EV chargepoint installation","Commercial installations only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial","OZEV authorised","51.36181853333331","-0.1920072512820512","2026-05-18"
"AJS Electrical Services","N/A","N/A","N/A","ajselectricalservices@hotmail.com","07950 528588","https://www.ajselectric.co.uk","7 Pitchford Road, Shrewsbury","Shrewsbury","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.735603085","-2.7459043299999997","2026-05-18"
"AKM Electricals Ltd (Irvine)","N/A","N/A","N/A","info@akmelectricals.co.uk","07725 083978","https://www.akmelectricals.co.uk","Broomfield Cottage, Irvine","Irvine","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","55.631074222222225","-4.622892072222222","2026-05-18"
"AL Technical","N/A","N/A","N/A","N/A","N/A","N/A","Upper Gwestydd, Newton","Newton","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.53640314166666","-3.2995867916666675","2026-05-18"
"Alex Hillman","N/A","N/A","N/A","Alexhillman@icloud.com","07541 243690","N/A","71 Henke Court,Atlantic Wharf, Cardiff Bay","Cardiff Bay","Wales","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial; Residential","OZEV authorised","51.471620569387724","-3.163641657142858","2026-05-18"
"Alex Murray Construction Ltd","N/A","N/A","N/A","N/A","N/A","N/A","Island Road, Stornoway, Western Isles","Western Isles","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","58.20745848333334","-6.376817861111111","2026-05-18"
"Alexander Zane Projects Ltd t/a Forward Energy","N/A","N/A","N/A","hello@forward.energy","02476 011279","https://www.forward.energy","Paxton Lodge, London Road, Coventry","Coventry","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.402729908510615","-1.5006328085106388","2026-05-18"
